Order_Id,Original_Shipping_Mode,Recommended_Shipping_Mode,Original_Emissions_kg,Recommended_Emissions_kg,Emissions_Reduction_kg,Cost_Increase_Percent,Delivery_Days_Original,Delivery_Days_Recommended
77202,Standard Class,Standard Class,1708.9072628114934,1708.9072628114934,0.0,0.0,3,3.0
75939,Standard Class,Second Class,1684.6152711277352,407.7819023140448,1276.8333688136904,-20.0,5,3.989083763918201
75938,Standard Class,Second Class,1433.3332794850069,369.37180838436495,1063.961471100642,-19.999999999999993,4,3.989083763918201
75937,Standard Class,Standard Class,1231.6293959010832,1231.6293959010832,0.0,0.0,3,3.0
75936,Standard Class,Standard Class,1314.153124711846,1314.153124711846,0.0,0.0,2,2.0
75934,First Class,First Class,6116.264487739298,6116.264487739298,0.0,0.0,2,2.0
75933,First Class,First Class,5280.569790888018,5280.569790888018,0.0,0.0,2,2.0
75932,Second Class,Second Class,564.0555497246062,564.0555497246062,0.0,0.0,3,3.0
75931,First Class,First Class,5898.089358759634,5898.089358759634,0.0,0.0,2,2.0
75929,Second Class,Second Class,505.1724665537517,505.1724665537517,0.0,0.0,5,5.0
75928,Second Class,Second Class,255.9451925742819,255.9451925742819,0.0,0.0,4,4.0
75927,First Class,First Class,9012.029096502896,9012.029096502896,0.0,0.0,2,2.0
75926,First Class,First Class,7513.457591576896,7513.457591576896,0.0,0.0,2,2.0
75925,First Class,First Class,5874.156248762796,5874.156248762796,0.0,0.0,2,2.0
75923,First Class,First Class,5415.5925545418595,5415.5925545418595,0.0,0.0,2,2.0
75922,First Class,First Class,5715.586985629105,5715.586985629105,0.0,0.0,2,2.0
75921,Same Day,Same Day,5585.357047055794,5585.357047055794,0.0,0.0,0,0.0
75920,Same Day,Same Day,6798.730891222324,6798.730891222324,0.0,0.0,0,0.0
75919,Standard Class,Second Class,1353.1538269825874,415.7117027422417,937.4421242403457,-19.999999999999996,5,3.989083763918201
75918,Second Class,Second Class,337.3548091599455,337.3548091599455,0.0,0.0,4,4.0
75915,Second Class,Second Class,589.6507989635322,589.6507989635322,0.0,0.0,6,6.0
75914,Second Class,Second Class,437.3762648883255,437.3762648883255,0.0,0.0,5,5.0
75913,Standard Class,Second Class,1326.6584625728956,464.7686105516115,861.889852021284,-19.999999999999993,4,3.989083763918201
75912,Standard Class,Standard Class,1140.0122573813192,1140.0122573813192,0.0,0.0,3,3.0
75911,Standard Class,Standard Class,1137.436849145977,1137.436849145977,0.0,0.0,2,2.0
75910,Standard Class,Second Class,1774.9609948754307,464.3890117880783,1310.5719830873525,-20.0,6,3.989083763918201
75909,Standard Class,Second Class,986.6556346649872,356.4617664295288,630.1938682354585,-20.0,5,3.989083763918201
75908,Standard Class,Second Class,1359.015677633424,401.8903767129697,957.1253009204543,-20.000000000000004,4,3.989083763918201
75907,First Class,First Class,5971.36845356949,5971.36845356949,0.0,0.0,2,2.0
75907,First Class,First Class,4173.931915938353,4173.931915938353,0.0,0.0,2,2.0
75906,First Class,First Class,6289.483870232181,6289.483870232181,0.0,0.0,2,2.0
75906,First Class,First Class,4760.05096298012,4760.05096298012,0.0,0.0,2,2.0
75904,First Class,First Class,4881.31146566757,4881.31146566757,0.0,0.0,2,2.0
75904,First Class,First Class,8383.6059744576,8383.6059744576,0.0,0.0,2,2.0
75903,First Class,First Class,8877.934518932487,8877.934518932487,0.0,0.0,2,2.0
75902,Same Day,Same Day,9012.029096502896,9012.029096502896,0.0,0.0,1,1.0
75898,Standard Class,Second Class,1398.5601360824442,462.0936026292913,936.4665334531528,-19.999999999999996,4,3.989083763918201
75897,Standard Class,Standard Class,1294.606395736039,1294.606395736039,0.0,0.0,3,3.0
75896,Standard Class,Standard Class,1356.6243708015247,1356.6243708015247,0.0,0.0,2,2.0
75895,Standard Class,Second Class,1419.688155695258,436.13999463339246,983.5481610618656,-19.999999999999993,6,3.989083763918201
75894,Second Class,Second Class,307.99713185637785,307.99713185637785,0.0,0.0,5,5.0
75893,Standard Class,Second Class,1205.6649875668834,358.17318412657124,847.4918034403122,-19.999999999999993,4,3.989083763918201
28744,Second Class,Second Class,305.0610459403021,305.0610459403021,0.0,0.0,5,5.0
28744,Second Class,Second Class,533.9887694905364,533.9887694905364,0.0,0.0,5,5.0
31115,Second Class,Second Class,431.8976151895282,431.8976151895282,0.0,0.0,6,6.0
20365,Second Class,Second Class,474.40475367246086,474.40475367246086,0.0,0.0,6,6.0
20365,Second Class,Second Class,358.96815503212264,358.96815503212264,0.0,0.0,6,6.0
20365,Second Class,Second Class,435.98300213855833,435.98300213855833,0.0,0.0,6,6.0
44046,Second Class,Second Class,251.87874278807396,251.87874278807396,0.0,0.0,2,2.0
46599,Second Class,Second Class,126.965796049077,126.965796049077,0.0,0.0,5,5.0
12827,Second Class,Second Class,280.2800835263688,280.2800835263688,0.0,0.0,3,3.0
67892,Second Class,Second Class,254.87563822266523,254.87563822266523,0.0,0.0,3,3.0
5895,Second Class,Second Class,99.04251722639528,99.04251722639528,0.0,0.0,6,6.0
56359,Second Class,Second Class,93.715630537378,93.715630537378,0.0,0.0,5,5.0
7824,Second Class,Second Class,11.8247629384337,11.8247629384337,0.0,0.0,5,5.0
7814,Second Class,Second Class,38.719777880557224,38.719777880557224,0.0,0.0,5,5.0
7814,Second Class,Second Class,23.26958700124472,23.26958700124472,0.0,0.0,5,5.0
60807,Second Class,Second Class,9.13768057342362,9.13768057342362,0.0,0.0,3,3.0
7888,Second Class,Second Class,54.145013079538685,54.145013079538685,0.0,0.0,4,4.0
6783,Second Class,Second Class,60.99837402079293,60.99837402079293,0.0,0.0,4,4.0
56973,Second Class,Second Class,117.29160111829606,117.29160111829606,0.0,0.0,4,4.0
7824,Second Class,Second Class,9.63647067646004,9.63647067646004,0.0,0.0,5,5.0
55155,Second Class,Second Class,123.76367852795266,123.76367852795266,0.0,0.0,6,6.0
5991,Second Class,Second Class,106.28543954060022,106.28543954060022,0.0,0.0,2,2.0
2263,Second Class,Second Class,87.26081666373611,87.26081666373611,0.0,0.0,4,4.0
2263,Second Class,Second Class,103.03969902813256,103.03969902813256,0.0,0.0,4,4.0
53403,Second Class,Second Class,81.0771471706751,81.0771471706751,0.0,0.0,4,4.0
4919,Standard Class,Second Class,710.4796649255795,193.1724379642996,517.3072269612799,-20.0,5,3.989083763918201
52640,Standard Class,Second Class,442.294865935648,187.57798266417737,254.7168832714706,-20.0,6,3.989083763918201
57106,Standard Class,Standard Class,659.0498082741987,659.0498082741987,0.0,0.0,2,2.0
6245,Standard Class,Second Class,571.1292009600493,146.37977612750714,424.7494248325421,-20.0,6,3.989083763918201
56172,Standard Class,Standard Class,93.9617344017703,93.9617344017703,0.0,0.0,3,3.0
